sid;owner_name;owner_passportNum;owner_TIN(SSN);owner_email;owner_phone;property_type;property_area(square feet);property_location;property_distanceFromCenter (miles);property_numberBedrooms;property_numberBathrooms;property_pnumParking;property_centralHeating;property_airconditioned;property_basement;property_loft;property_sunExposure;property_requested_sale_rent_price;property_sale_rent_price (USD);commission(%);contract_duration(months);property_dateAnnounceRequest;property_dateofSale;type_business;store_ID;store_name;store_location;store_phonenumber;store_emailAddress
74;Zoe GERRIE;711111188;111-11-0077;ZoeGERRIE2155@hotmail.com;907-488-1496;house;1285;15004 Center Court Dr. N, Cerritos, CA, 90703;58;2;2;1;Y;Y;Y;Y;E;122000;113565;5;NA;16/01/2001;30/01/2001;sale;4;Cerritos;17777 Center Court Dr. N, Cerritos, CA, 90703;562-345-9200;cerritos@realstateUSA.com
75;Freya O'SULLIVAN;711111189;111-11-0078;FreyaOSULLIVAN2155@gmail.com;907-488-1497;house;1768;15005 Center Court Dr. N, Cerritos, CA, 90703;12;4;2;0;Y;N;Y;Y;W;131500;122923;5;NA;16/01/2001;16/01/2001;sale;4;Cerritos;17777 Center Court Dr. N, Cerritos, CA, 90703;562-345-9200;cerritos@realstateUSA.com
76;Scarlett ASHER;711111190;111-11-0079;ScarlettASHER2155@hotmail.com;907-488-1498;house;1230;15006 Center Court Dr. N, Cerritos, CA, 90703;46;2;2;2;Y;Y;Y;N;N;105000;98826;5;NA;16/01/2001;05/02/2001;sale;4;Cerritos;17777 Center Court Dr. N, Cerritos, CA, 90703;562-345-9200;cerritos@realstateUSA.com
77;Brooklyn OGSTON;711111191;111-11-0080;BrooklynOGSTON2155@yahoo.com;907-488-1499;house;2142;15007 Center Court Dr. N, Cerritos, CA, 90703;39;4;3;1;Y;Y;Y;N;E;188500;184629;5;NA;16/01/2001;02/02/2001;sale;4;Cerritos;17777 Center Court Dr. N, Cerritos, CA, 90703;562-345-9200;cerritos@realstateUSA.com
78;Evelyn DUKE;711111192;111-11-0081;EvelynDUKE2155@yahoo.com;907-488-1500;house;1337;15008 Center Court Dr. N, Cerritos, CA, 90703;58;2;3;2;Y;Y;Y;N;W;148500;145501;5;NA;16/01/2001;02/02/2001;sale;4;Cerritos;17777 Center Court Dr. N, Cerritos, CA, 90703;562-345-9200;cerritos@realstateUSA.com
79;Emma LENNOX;711111193;111-11-0082;EmmaLENNOX2155@yahoo.com;907-488-1501;house;1563;15009 Center Court Dr. N, Cerritos, CA, 90703;62;3;2;3;Y;Y;Y;Y;N;240000;238758;5;NA;16/01/2001;01/02/2001;sale;4;Cerritos;17777 Center Court Dr. N, Cerritos, CA, 90703;562-345-9200;cerritos@realstateUSA.com
80;Emma BINGHAM;711111194;111-11-0083;EmmaBINGHAM2155@yahoo.com;907-488-1502;house;1065;15010 Center Court Dr. N, Cerritos, CA, 90703;60;3;2;2;Y;Y;Y;Y;N;121500;116321;5;NA;16/01/2001;09/02/2001;sale;4;Cerritos;17777 Center Court Dr. N, Cerritos, CA, 90703;562-345-9200;cerritos@realstateUSA.com
81;Isla DODD;711111195;111-11-0084;IslaDODD2155@gmail.com;907-488-1503;house;1474;3360 Gateway Blvd, Fremont, CA, 94538;67;3;3;2;Y;Y;Y;N;S;163500;161981;5;NA;16/01/2001;29/01/2001;sale;5;Fremont;3353 Gateway Blvd, Fremont, CA, 94538;510-656-1900;fremont@realstateUSA.com
82;Annabelle LALLY;711111196;111-11-0085;AnnabelleLALLY2155@gmail.com;907-488-1504;house;2417;3361 Gateway Blvd, Fremont, CA, 94538;9;4;3;2;Y;Y;Y;N;S;255000;249163;5;NA;16/01/2001;07/02/2001;sale;5;Fremont;3353 Gateway Blvd, Fremont, CA, 94538;510-656-1900;fremont@realstateUSA.com
83;Emma BOSWELL;711111197;111-11-0086;EmmaBOSWELL2155@hotmail.com;907-488-1505;house;1560;3362 Gateway Blvd, Fremont, CA, 94538;17;3;3;2;Y;Y;Y;N;E;169000;168939;5;NA;16/01/2001;17/01/2001;sale;5;Fremont;3353 Gateway Blvd, Fremont, CA, 94538;510-656-1900;fremont@realstateUSA.com
84;Abigail BRADFORD;711111198;111-11-0087;AbigailBRADFORD2155@gmail.com;907-488-1506;house;1224;3363 Gateway Blvd, Fremont, CA, 94538;30;2;3;2;Y;Y;Y;Y;W;159500;156534;5;NA;16/01/2001;05/02/2001;sale;5;Fremont;3353 Gateway Blvd, Fremont, CA, 94538;510-656-1900;fremont@realstateUSA.com
85;Zoe WATERSTON;711111199;111-11-0088;ZoeWATERSTON2155@hotmail.com;907-488-1507;house;1526;3364 Gateway Blvd, Fremont, CA, 94538;62;2;1;0;Y;N;Y;Y;N;80000;76652;5;NA;17/01/2001;29/01/2001;sale;5;Fremont;3353 Gateway Blvd, Fremont, CA, 94538;510-656-1900;fremont@realstateUSA.com
86;Ayla SANGSTER;711111200;111-11-0089;AylaSANGSTER2155@hotmail.com;907-488-1508;house;990;2142 Rosecrans Avenue, El Segundo, CA, 90245;14;3;2;0;Y;Y;Y;N;E;118600;111205;5;NA;17/01/2001;29/01/2001;sale;6;El Segundo;2141 Rosecrans Avenue, El Segundo, CA, 90245;310-641-2100;elsegundo@realstateUSA.com
87;Sarah MCGRATH;711111201;111-11-0090;SarahMCGRATH2155@hotmail.com;907-488-1509;house;1040;2143 Rosecrans Avenue, El Segundo, CA, 90245;69;2;1;2;Y;Y;N;N;W;104900;98683;5;NA;17/01/2001;24/01/2001;sale;6;El Segundo;2141 Rosecrans Avenue, El Segundo, CA, 90245;310-641-2100;elsegundo@realstateUSA.com
